

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
046.462  000.050  000.050: require('nvim-treesitter.shell_command_selectors')
046.474  000.231  000.136: require('nvim-treesitter.install')
046.513  000.038  000.038: require('nvim-treesitter.statusline')
046.555  000.041  000.041: require('nvim-treesitter.query_predicates')
046.556  000.360  000.051: require('nvim-treesitter')
046.727  000.547  000.186: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
046.884  000.024  000.024: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
047.136  000.013  000.013: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/pears.nvim/plugin/pears.vim
047.356  000.024  000.024: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
047.684  000.045  000.045: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-macos-ime/plugin/vim-input-source.vim
049.578  000.184  000.184: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/vsnip.vim
049.778  000.049  000.049: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
049.910  000.019  000.019: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip.vim
050.114  000.836  000.585: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/snippet.vim
050.332  000.084  000.084: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
050.529  000.038  000.038: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
050.794  000.088  000.088: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
051.002  000.036  000.036: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
051.269  000.084  000.084: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
051.366  002.200  001.033: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/session.vim
051.488  002.443  000.243: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip.vim
051.714  003.842  001.399: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
051.923  000.016  000.016: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
052.125  003.286: loading packages
052.713  000.039  000.039: require('cmp_buffer.timer')
052.715  000.081  000.042: require('cmp_buffer.buffer')
052.717  000.128  000.048: require('cmp_buffer.source')
052.718  000.176  000.048: require('cmp_buffer')
052.733  000.212  000.035: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
052.935  000.039  000.039: require('cmp_nvim_lsp.source')
052.936  000.078  000.040: require('cmp_nvim_lsp')
052.942  000.104  000.026: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
053.117  000.052  000.052: require('cmp_path')
053.124  000.077  000.025: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
053.286  000.039  000.039: require('cmp_vsnip')
053.292  000.064  000.025: sourcing /Users/liyang/.local/share/nvim/site/pack/packer/start/cmp-vsnip/after/plugin/cmp_vsnip.lua
053.311  000.729: loading after plugins
053.318  000.007: inits 3
054.060  000.743: reading ShaDa
054.100  000.040: opening buffers
054.463  000.363: BufEnter autocommands
054.467  000.004: editing files in windows
065.873  000.132  000.132: require('which-key.plugins')
065.963  000.081  000.081: require('which-key.plugins.marks')
066.060  000.094  000.094: require('which-key.mappings')
066.157  000.088  000.088: require('vim.inspect')
068.100  000.052  000.052: require('which-key.plugins.presets')
068.142  000.040  000.040: require('which-key.plugins.presets.misc')
068.185  000.040  000.040: require('which-key.plugins.registers')
068.899  000.042  000.042: require('which-key.colors')
073.422  018.386: VimEnter autocommands
073.423  000.001: UIEnter autocommands
073.424  000.001: before starting main loop
073.534  000.110: first screen update
073.535  000.001: --- NVIM STARTED ---
